#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-433.752395057,10.3192367885,-423.433158268,413.705813336
20,-433.956628353,5.55337923475,-428.403249118,222.639069164
30,-433.931467007,11.5371886519,-422.394278355,462.534401787
40,-434.001775612,7.35866930104,-426.643106311,295.014479332
50,-434.150916146,9.31446126682,-424.836454879,373.423621645
60,-434.52321849,8.18774824068,-426.33547025,328.252865471
70,-434.923851672,9.53873201296,-425.385119659,382.414801259
80,-434.611283788,14.2297609772,-420.381522811,570.481612092
90,-434.370855456,10.3921933649,-423.978662091,416.630696289
100,-434.32639037,8.79128266199,-425.535107708,352.449005531
110,-434.497750888,3.30404360198,-431.193707286,132.461544751
120,-434.623683194,8.59970502478,-426.023978169,344.768516766
130,-434.618788345,8.09617385817,-426.522614487,324.58158094
140,-434.852251896,13.6216627541,-421.230589142,546.102505852
150,-434.991592959,8.25860601873,-426.732986941,331.093606051
160,-435.599251983,19.5958809394,-416.003371044,785.613318913
170,-435.047092714,8.2828166204,-426.764276093,332.064226928
180,-434.923924897,2.30641675218,-432.617508145,92.465948588
190,-434.471923988,18.564730708,-415.90719328,744.273745659
