#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-433.762907638,9.71749403246,-424.045413605,389.581502458
20,-433.826965933,5.89300230279,-427.933963631,236.254808435
30,-433.995606191,2.88743789391,-431.108168297,115.759514666
40,-433.995230305,18.039649446,-415.955580859,723.222850617
50,-434.015482412,17.4399011325,-416.57558128,699.178498409
60,-433.99965932,7.40119004569,-426.598469274,296.719167344
70,-433.829254751,12.7893127747,-421.039941977,512.732981316
80,-433.851975726,3.43352213684,-430.418453589,137.652434705
90,-433.921690092,3.45987696895,-430.461813124,138.70901936
100,-434.040492905,15.6289453291,-418.411547576,626.575944664
110,-434.016105229,6.48490040407,-427.531204825,259.984439843
120,-434.08305469,7.39305428351,-426.690000406,296.392998638
130,-434.141153698,14.2211830239,-419.919970674,570.137715618
140,-434.20649319,12.4567008834,-421.749792307,499.398325292
150,-434.038471782,6.89997354785,-427.138498234,276.625028296
160,-434.222987357,17.7485300919,-416.474457266,711.551661009
170,-434.240274825,1.95066998094,-432.289604844,78.203798164
180,-434.455479054,7.03242391536,-427.423055139,281.935061212
190,-434.544089962,5.50090281241,-429.043187149,220.535250691
200,-434.461267123,14.3259720172,-420.135295106,574.338783639
210,-434.457139852,6.39114569535,-428.065994156,256.225744426
220,-434.236857583,17.8290493752,-416.407808208,714.77973846
230,-434.522298768,16.037647146,-418.484651622,642.961101922
240,-434.830708656,8.16271154085,-426.667997115,327.24912571
250,-435.346408674,15.2293787259,-420.117029948,610.55702486
260,-435.2408098,7.47750459243,-427.763305208,299.778673805
270,-435.169658319,5.39056945608,-429.779088863,216.111905064
280,-435.188643442,2.31053090488,-432.878112537,92.6308880039
290,-435.199844952,30.4803863628,-404.719458589,1221.98116871
300,-435.223103028,7.75411189773,-427.46899113,310.868064674
310,-434.935442344,10.4705252865,-424.464917058,419.771080797
320,-434.658265867,9.86061887579,-424.797646991,395.319482983
330,-434.513188003,15.1355310614,-419.377656942,606.794602774
340,-434.442229767,10.307701893,-424.134527874,413.243370868
350,-434.664619024,10.9075347524,-423.757084272,437.291112579
360,-434.467398308,1.06710756658,-433.400290741,42.7811293412
370,-434.519659519,4.87899014093,-429.640669378,195.602313028
380,-434.466790294,9.38665202846,-425.080138265,376.31780252
390,-434.157258828,13.4649943182,-420.69226451,539.821552711
400,-434.400946743,22.0854779986,-412.315468744,885.423101108
410,-434.362093878,7.22077793465,-427.141315943,289.486312757
420,-434.024061747,7.05683225963,-426.967229488,282.913609735
430,-434.103391603,7.25472087733,-426.848670725,290.847110363
440,-434.297765727,8.12868254314,-426.169083184,325.884878096
450,-434.35549124,4.2781977282,-430.077293512,171.516102114
460,-434.416828138,9.81186505614,-424.604963081,393.364906397
470,-434.800416394,4.66758167752,-430.132834716,187.126791815
480,-434.837302457,1.81474232056,-433.022560136,72.7543580123
490,-434.851660505,2.26862607587,-432.583034429,90.9508925038
500,-434.730717374,3.40845079404,-431.32226658,136.647306081
510,-434.56658112,6.01744990974,-428.549131211,241.244004779
520,-434.406727805,17.9033310647,-416.503396741,717.757746172
530,-434.362876917,11.9570703597,-422.405806557,479.367769115
540,-434.121245708,12.7862082718,-421.335037436,512.608519505
550,-434.120011826,1.83136371835,-432.288648108,73.4207221081
560,-433.968574262,5.86047871635,-428.108095546,234.950913869
570,-434.069030265,12.3612495559,-421.70778071,495.571611175
580,-434.131743935,6.36907151738,-427.762672418,255.340774352
590,-434.209421701,10.1891214851,-424.020300216,408.489394862
600,-434.485406406,3.99408425172,-430.491322154,160.125783307
610,-434.531531386,9.37957600523,-425.151955381,376.03411953
620,-434.664427324,4.14403696022,-430.520390364,166.137497982
630,-434.687195362,12.3314228294,-422.355772533,494.375835711
640,-434.555018153,17.0282541839,-417.526763969,682.675268651
650,-434.592324264,15.0772086093,-419.515115655,604.456412656
660,-434.647514226,11.3800552399,-423.267458986,456.234807413
670,-434.63920577,4.95065482701,-429.688550943,198.475403146
680,-434.735247261,11.3739295217,-423.36131774,455.989222849
690,-434.471801297,10.3889525932,-424.082848703,416.500771362
700,-434.40263761,11.5927221083,-422.809915502,464.760779009
710,-434.394286763,2.41710120842,-431.977185554,96.9033700691
720,-434.294505471,15.1943572277,-419.100148243,609.15298717
730,-434.266340543,4.89707400303,-429.36926654,196.327308396
740,-434.289621264,15.4427166348,-418.846904629,619.109898966
750,-434.245507491,7.82670887978,-426.418798611,313.778531225
760,-434.154906506,8.91954144686,-425.235365059,357.590994808
770,-434.32508313,1.49335309862,-432.831730031,59.8696270787
