#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-433.753492762,5.47762684851,-428.275865913,219.602100132
20,-433.815992361,2.62929815378,-431.186694207,105.410502105
30,-433.859721483,3.33858074243,-430.521140741,133.846164183
40,-433.85490668,5.00606525006,-428.84884143,200.696847871
50,-433.915101339,10.7037285691,-423.211372769,429.120372383
60,-433.950232043,8.65374635207,-425.296485691,346.935073433
70,-434.122175618,12.1624195232,-421.959756094,487.600368525
80,-434.44727536,10.8313892121,-423.615886148,434.238381715
90,-434.548275724,7.00900634391,-427.53926938,280.996233502
100,-434.903444561,4.34561735669,-430.557827205,174.219004743
110,-434.889975929,9.46231784913,-425.42765808,379.351301075
120,-434.750754059,6.41847926903,-428.33227479,257.321567554
130,-434.798950095,5.96538579484,-428.8335643,239.156716015
140,-435.02790949,3.1026258479,-431.925283642,124.386558443
150,-434.854723601,2.88561182069,-431.96911178,115.686306043
160,-434.815145744,6.37016474307,-428.444981001,255.384602576
170,-434.900772205,5.91966065989,-428.981111545,237.323561632
180,-434.869653499,1.92772153731,-432.941931961,77.2837781343
190,-434.731063213,10.5033257983,-424.227737414,421.086077504
200,-435.410704891,3.72426544962,-431.686439442,149.308548538
210,-435.73210174,6.53347901517,-429.198622725,261.931992189
220,-435.957123814,2.93278381902,-433.024339995,117.577466246
230,-436.140169304,13.8652823597,-422.274886944,555.869395509
240,-436.488129239,3.17669653582,-433.311432703,127.35610695
250,-436.522481021,16.6501218824,-419.872359139,667.515665807
260,-436.179714967,18.5980438492,-417.581671118,745.609294058
270,-436.075859589,8.32077638973,-427.755083199,333.586062075
280,-435.935092077,11.4650894014,-424.470002676,459.643889658
290,-436.452570404,7.09478970793,-429.357780696,284.435351831
300,-437.212005618,13.7423170873,-423.469688531,550.939627052
310,-437.105356565,6.04146782811,-431.063888737,242.20690084
320,-436.67390725,7.71610729517,-428.957799955,309.344432128
330,-437.449558512,4.69926875541,-432.750289757,188.397150137
340,-437.038001086,2.71065827203,-434.327342814,108.672289249
350,-437.360976526,14.3513783173,-423.009598209,575.357340947
360,-437.036115086,9.68972899602,-427.34638609,388.46838167
370,-437.129419913,5.55585179851,-431.573568115,222.738196069
380,-436.75632584,10.6073120726,-426.149013767,425.254963932
390,-436.662203019,2.56501751975,-434.097185499,102.833444079
400,-436.338760476,5.17355787919,-431.165202597,207.4117509
410,-436.476501848,8.87099234084,-427.605509507,355.644625342
420,-436.60727845,7.48947913409,-429.117799316,300.258742011
430,-436.074014397,4.83449537885,-431.239519018,193.818485201
440,-435.854366331,5.57658872197,-430.277777609,223.569554624
450,-436.51318012,6.20759829414,-430.305581825,248.867193745
460,-436.615933016,6.1444818567,-430.47145116,246.336809219
470,-437.691560884,5.62728657341,-432.064274311,225.602068878
480,-437.564710235,7.35988702697,-430.204823208,295.063298862
490,-437.350846148,12.9157100563,-424.435136091,517.800341553
500,-437.060165106,8.55786683722,-428.502298269,343.091192971
510,-437.8790894,1.83714375337,-436.041945647,73.6524479748
520,-438.241636554,5.81452187773,-432.427114676,233.108470315
530,-438.483004797,9.95671700632,-428.52628779,399.172127909
540,-439.474143137,5.53760921645,-433.93653392,222.0068375
550,-439.357098812,11.7058520958,-427.651246717,469.29624364
560,-439.189520552,10.4292624124,-428.760258139,418.116821744
570,-440.400274832,22.8931590021,-417.50711583,917.803628204
580,-439.888639586,8.06872233003,-431.819917256,323.481028931
590,-439.69496085,7.74449507474,-431.950465775,310.482519148
600,-440.010671034,12.848054934,-427.1626161,515.087997804
610,-438.818565958,1.45791148656,-437.360654471,58.4487467127
620,-438.057200404,3.20750751002,-434.849692894,128.591341628
630,-438.743904859,11.8431280686,-426.90077679,474.799738632
640,-437.955009948,5.52244891646,-432.432561032,221.399049892
650,-436.846050091,7.53093087656,-429.315119215,301.920572938
660,-436.795131229,8.32040726382,-428.474723965,333.571263546
670,-436.900228935,12.5302402204,-424.369988714,502.346571547
680,-436.11607557,6.31625299706,-429.799822573,253.223240918
690,-436.072692525,16.5667333192,-419.505959206,664.172556808
700,-436.137785919,13.7619313831,-422.375854536,551.725978635
710,-436.11884104,10.8783634792,-425.24047756,436.121614727
720,-436.244492533,17.5452365219,-418.699256012,703.401471855
730,-436.445537702,8.28845375158,-428.157083951,332.290223674
740,-436.668166064,10.4663166259,-426.201849438,419.602352488
750,-437.017272796,0.543717119721,-436.473555676,21.7980203235
760,-437.319540728,7.49362313474,-429.825917593,300.424878054
770,-437.455544925,5.57066383931,-431.884881086,223.332021708
780,-437.450553208,5.27241998778,-432.17813322,211.375205745
790,-437.479319224,6.65331213803,-430.826007086,266.736190462
800,-437.440321463,4.72755540819,-432.712766055,189.531182908
810,-437.006615637,12.4174082546,-424.589207382,497.823054822
820,-436.897424315,8.36540140533,-428.53202291,335.375111862
830,-436.857327107,4.69630590047,-432.161021206,188.278367097
840,-437.332349425,1.95839888557,-435.37395054,78.513655651
850,-436.146115599,9.18189489066,-426.964220708,368.108937857
860,-435.99172166,15.284487148,-420.707234512,612.766362142
870,-436.808852046,6.5774257012,-430.231426345,263.693847243
880,-436.800089499,12.549825213,-424.250264286,503.131748344
890,-436.541642798,5.05835599486,-431.483286803,202.793222395
900,-436.97765955,15.1539379626,-421.823721587,607.532549019
910,-436.847180673,7.42675101302,-429.42042966,297.743925375
920,-436.876820433,16.6931379134,-420.183682519,669.240210217
930,-436.474779789,17.2827495969,-419.192030193,692.878177448
940,-436.455589598,1.8637536655,-434.591835932,74.7192589768
950,-436.718434169,7.65656417175,-429.061869997,306.957304397
960,-436.626245324,6.60254072009,-430.023704603,264.700726873
970,-436.424207039,6.24199797186,-430.182209067,250.246302194
980,-436.321735779,4.45686098365,-431.864874795,178.67884379
990,-436.400836365,1.20881147545,-435.192024889,48.4621435551
1000,-436.085558852,4.77724010622,-431.308318746,191.523079095
1010,-436.254057546,7.86434233219,-428.389715214,315.287284087
1020,-436.298301498,15.2721946379,-421.02610686,612.273546346
1030,-436.593667309,8.74242193644,-427.851245373,350.490143009
1040,-436.492653288,3.59850677916,-432.894146509,144.266790692
