#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-433.759654504,8.88817427139,-424.871480232,356.33346161
20,-433.760564611,14.426576043,-419.333988568,578.372073231
30,-433.982990104,16.457901149,-417.525088955,659.809394841
40,-433.978507082,15.8528071909,-418.125699891,635.550731804
50,-434.043588144,6.06915173865,-427.974436406,243.31676923
60,-434.386045821,7.51152372966,-426.874522091,301.142526106
70,-434.31153493,5.49394772422,-428.817587206,220.256416076
80,-434.321623261,7.89229689414,-426.429326367,316.408003092
90,-434.387828774,7.84187376771,-426.545955006,314.386502766
100,-434.543956437,12.0300169199,-422.513939517,482.292250512
110,-434.266267282,6.48174576807,-427.784521514,259.857968159
120,-434.551800811,11.5837138264,-422.968086984,464.399630345
130,-434.69305037,3.90716583767,-430.785884532,156.641159985
140,-434.551209104,16.926433317,-417.624775787,678.593195002
150,-434.811036739,9.28625552992,-425.524781209,372.292832851
160,-434.663966876,16.4748026868,-418.18916419,660.486989959
170,-434.583481374,8.1321881375,-426.451293236,326.025419959
180,-434.852583974,7.97172313063,-426.880860843,319.59225949
190,-435.283188544,14.7695308859,-420.513657658,592.121385813
200,-435.010742123,6.2753215926,-428.73542053,251.582270726
210,-434.447144615,4.69174227462,-429.75540234,188.095407971
220,-434.508892049,15.2956835596,-419.213208489,613.215234542
230,-434.472732358,6.53309532182,-427.939637036,261.91660964
240,-434.463332,11.1772597189,-423.286072281,448.104585412
250,-434.42077596,24.8492316624,-409.571544297,996.22402377
260,-434.739025761,11.3650912398,-423.373934522,455.634889613
