#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
10,-433.769110663,17.0073118033,-416.76179886,681.835673166
20,-433.956500921,20.1356739761,-413.820826945,807.254019856
30,-434.21698799,19.3421891438,-414.874798846,775.442627731
40,-434.372567027,17.8685209504,-416.504046076,716.362183019
50,-434.574665543,5.78959029633,-428.785075247,232.108944829
60,-434.658646896,7.50306700753,-427.155579889,300.803489879
70,-434.790268936,21.1790634272,-413.611205509,849.084272455
80,-434.547810082,20.3349243027,-414.21288578,815.242112398
90,-434.901341886,8.69661254325,-426.204729342,348.653610651
100,-435.403278007,8.2957804614,-427.107497546,332.583956874
110,-434.814937492,9.72451100421,-425.090426488,389.862818031
120,-435.22886432,7.90832966626,-427.320534654,317.05076875
130,-435.492826525,7.04803502685,-428.444791499,282.560922185
140,-435.190843682,11.7749578484,-423.415885833,472.06674423
150,-435.341836402,12.6763261125,-422.665510289,508.203262701
160,-435.055812175,16.9000964562,-418.155715719,677.537330829
170,-435.268564849,2.21152461749,-433.057040231,88.6616529248
180,-435.021346536,7.9525151096,-427.068831427,318.822195761
190,-435.160789047,11.632765163,-423.528023884,466.366134603
200,-434.946977061,13.3209621763,-421.626014885,534.04719792
210,-434.82910892,11.719161773,-423.109947147,469.829838417
220,-434.574508124,27.8717459437,-406.70276218,1117.39885043
230,-434.96973665,14.9206489468,-420.049087703,598.179820325
240,-435.121322221,4.12869255165,-430.992629669,165.522329326
250,-435.500060005,19.8058475512,-415.694212454,794.031035232
260,-434.631850869,3.59435538251,-431.037495486,144.100358138
270,-434.889940067,6.59087857534,-428.299061492,264.233182889
280,-434.971303861,9.2496252596,-425.721678602,370.824298299
290,-435.031931109,8.87351591416,-426.158415195,355.745797258
300,-435.159666224,5.45098685959,-429.708679364,218.534083329
310,-435.270014136,22.0573202355,-413.212693901,884.294235617
320,-435.22797391,25.1117592699,-410.116214641,1006.74894917
330,-435.413963122,5.83439826274,-429.57956486,233.905329249
340,-435.195767422,3.16016668375,-432.035600738,126.693412989
350,-435.519661591,16.7295300843,-418.790131506,670.699199186
